produit_id,mois_offset,quantite_commandee,stock_final,rupture,demande_prevue,commande_passee,classe_abc,cout_achat,lead_time_mois
P0023,1,28,0.0,6.5303653,32.53036527398321,1,A,250.0,1
P0023,2,34,0.0,0.0,28.12517936659319,1,A,250.0,1
P0023,3,12,0.0,0.0,33.787984530073714,1,A,250.0,1
P0023,4,37,0.0,0.0,11.783211908522176,1,A,250.0,1
P0023,5,25,0.0,0.0,36.612731365750676,1,A,250.0,1
P0023,6,0,0.0,0.0,24.780632549933276,0,A,250.0,1
P0024,1,10,4.8072821,0.0,24.192717870389927,1,A,260.0,1
P0024,2,15,0.0,0.0,14.775498111888128,1,A,260.0,1
P0024,3,16,0.0,0.0,15.227735971091924,1,A,260.0,1
P0024,4,22,0.0,0.0,15.6546970860803,1,A,260.0,1
P0024,5,18,0.0,0.0,22.279811719405874,1,A,260.0,1
P0024,6,0,0.0,0.0,17.939590044107867,0,A,260.0,1
P0105,1,15,2.0824689,0.0,18.917531137704884,1,A,480.0,1
P0105,2,19,0.0,0.0,17.496174871212002,1,A,480.0,1
P0105,3,15,0.0,0.0,19.096709659216376,1,A,480.0,1
P0105,4,17,0.0,0.0,15.389225124922767,1,A,480.0,1
P0105,5,22,0.0,0.0,16.863251591264124,1,A,480.0,1
P0105,6,0,0.0,0.0,21.766188930516893,0,A,480.0,1
P0110,1,19,0.0,2.6550494,18.655049425474008,1,A,461.0,1
P0110,2,16,0.0,0.0,19.243742691374337,1,A,461.0,1
P0110,3,18,0.0,0.0,16.046141514065592,1,A,461.0,1
P0110,4,19,0.0,0.0,18.482686434363256,1,A,461.0,1
P0110,5,18,0.0,0.0,19.24076350408455,1,A,461.0,1
P0110,6,0,0.0,0.0,17.590126931032,0,A,461.0,1
P0025,1,21,0.0,23.415356,34.41535635038667,1,A,270.0,1
P0025,2,32,0.0,0.0,21.123876957575014,1,A,270.0,1
P0025,3,31,0.0,0.0,31.753676471504903,1,A,270.0,1
P0025,4,15,0.0,0.0,31.2745869047111,1,A,270.0,1
P0025,5,34,0.0,0.0,15.234851785323427,1,A,270.0,1
P0025,6,0,0.0,0.0,34.20902740282085,0,A,270.0,1
P0104,1,23,3.45652,0.0,19.543480017025345,1,A,320.0,1
P0104,2,27,0.0,0.0,26.908777248394752,1,A,320.0,1
P0104,3,25,0.0,0.0,27.026476260009538,1,A,320.0,1
P0104,4,18,0.0,0.0,25.123796250811857,1,A,320.0,1
P0104,5,20,0.0,0.0,18.119676781528476,1,A,320.0,1
P0104,6,0,0.0,0.0,20.013947912446767,0,A,320.0,1
P0080,1,4,0.682651,0.0,3.317348996649084,1,A,1105.0,1
P0080,2,3,0.0,0.0,5.119149410414783,1,A,1105.0,1
P0080,3,5,0.0,0.0,3.207920174534182,1,A,1105.0,1
P0080,4,3,0.0,0.0,5.324921085680582,1,A,1105.0,1
P0080,5,5,0.0,0.0,3.4639787618798445,1,A,1105.0,1
P0080,6,0,0.0,0.0,4.557818388697569,0,A,1105.0,1
P0094,1,23,0.0,6.9085781,16.90857813163714,1,A,245.0,2
P0094,2,22,0.0,20.161288,20.16128804327467,1,A,245.0,2
P0094,3,23,0.0,0.0,23.237032315543928,1,A,245.0,2
P0094,4,21,0.0,0.0,21.907960407828195,1,A,245.0,2
P0094,5,0,0.0,0.0,22.81152588023395,0,A,245.0,2
P0094,6,0,0.0,0.0,21.111316042176938,0,A,245.0,2
P0043,1,4,0.0,4.3394902,10.339490154691307,1,A,544.0,1
P0043,2,9,0.0,0.0,4.470952926575482,1,A,544.0,1
P0043,3,9,0.0,0.0,9.455518320022641,1,A,544.0,1
P0043,4,8,0.0,0.0,9.322825846791872,1,A,544.0,1
P0043,5,8,0.0,0.0,8.062219911098726,1,A,544.0,1
P0043,6,0,0.0,0.0,8.211306017098325,0,A,544.0,1
P0037,1,0,6.1672626,0.0,5.832737404748869,0,A,600.0,1
P0037,2,15,0.24681062,0.0,5.920451971178666,1,A,600.0,1
P0037,3,17,0.0,0.0,15.608427454315015,1,A,600.0,1
P0037,4,13,0.0,0.0,16.770111426952276,1,A,600.0,1
P0037,5,10,0.0,0.0,12.59284871061747,1,A,600.0,1
P0037,6,0,0.0,0.0,10.058699136306958,0,A,600.0,1
P0051,1,4,0.0,4.7245674,4.724567416285265,1,A,720.0,1
P0051,2,6,0.0,0.0,3.701670854703762,1,A,720.0,1
P0051,3,3,0.0,0.0,6.328585541692126,1,A,720.0,1
P0051,4,3,0.0,0.0,3.1816150411583948,1,A,720.0,1
P0051,5,4,0.0,0.0,3.4367003262133347,1,A,720.0,1
P0051,6,0,0.0,0.0,4.079395745693311,0,A,720.0,1
P0014,1,0,20.852194,0.0,3.147805536303994,0,A,180.0,1
P0014,2,10,4.1659256,0.0,16.686268871934523,1,A,180.0,1
P0014,3,7,0.0,0.0,14.458178073327542,1,A,180.0,1
P0014,4,17,0.0,0.0,6.782117674551685,1,A,180.0,1
P0014,5,14,0.0,0.0,16.795278814957097,1,A,180.0,1
P0014,6,0,0.0,0.0,14.275721699430843,0,A,180.0,1
P0016,1,27,5.1519041,0.0,31.848095891208803,1,A,220.0,1
P0016,2,32,0.0,0.0,31.848095891208803,1,A,220.0,1
P0016,3,32,0.0,0.0,31.848095891208803,1,A,220.0,1
P0016,4,32,0.0,0.0,31.848095891208803,1,A,220.0,1
P0016,5,32,0.0,0.0,31.848095891208803,1,A,220.0,1
P0016,6,0,0.0,0.0,31.848095891208803,0,A,220.0,1
P0107,1,27,0.0,3.3241798,16.324179779456895,1,A,215.0,2
P0107,2,24,0.0,24.775359,24.77535943748488,1,A,215.0,2
P0107,3,19,0.0,0.0,27.290342404154234,1,A,215.0,2
P0107,4,22,0.0,0.0,24.152116059619527,1,A,215.0,2
P0107,5,0,0.0,0.0,19.441198343978492,0,A,215.0,2
P0107,6,0,0.0,0.0,21.59369442372691,0,A,215.0,2
P0192,1,0,9.3621843,0.0,10.637815668131616,0,A,400.0,1
P0192,2,7,0.0,0.0,9.466698183255776,1,A,400.0,1
P0192,3,6,0.0,0.0,7.333320737140447,1,A,400.0,1
P0192,4,11,0.0,0.0,6.176199026495078,1,A,400.0,1
P0192,5,8,0.0,0.0,11.228032908846119,1,A,400.0,1
P0192,6,0,0.0,0.0,8.207599706815577,0,A,400.0,1
P0002,1,13,0.0,38.035962,38.03596224540379,1,A,110.0,1
P0002,2,59,0.0,0.0,13.193419441695521,1,A,110.0,1
P0002,3,11,0.0,0.0,59.492803215278585,1,A,110.0,1
P0002,4,45,0.0,0.0,10.585315105938346,1,A,110.0,1
P0002,5,3,0.0,0.0,45.07874338931619,1,A,110.0,1
P0002,6,0,0.0,0.0,2.8527108337943488,0,A,110.0,1
P0072,1,0,4.4818618,0.0,1.5181382216904067,0,A,790.0,1
P0072,2,2,2.0718215,0.0,2.4100402747804734,1,A,790.0,1
P0072,3,4,0.0,0.0,3.7191018327033145,1,A,790.0,1
P0072,4,4,0.0,0.0,4.029629431127768,1,A,790.0,1
P0072,5,3,0.0,0.0,3.793523199112262,1,A,790.0,1
P0072,6,0,0.0,0.0,2.8306733202094243,0,A,790.0,1
P0091,1,13,6.4451612,0.0,9.55483881743608,1,A,416.0,2
P0091,2,13,0.0,2.2433668,8.68852801715921,1,A,416.0,2
P0091,3,10,0.0,0.0,12.645500258402048,1,A,416.0,2
P0091,4,14,0.0,0.0,12.844033700855526,1,A,416.0,2
P0091,5,0,0.0,0.0,10.220426414273671,0,A,416.0,2
P0091,6,0,0.0,0.0,13.789898053162009,0,A,416.0,2
P0098,1,26,0.0,15.460187,21.460186551168256,1,A,192.0,2
P0098,2,21,0.0,20.116373,20.116373117831593,1,A,192.0,2
P0098,3,27,0.0,0.0,26.030239640049494,1,A,192.0,2
P0098,4,17,0.0,0.0,21.415898216491478,1,A,192.0,2
P0098,5,0,0.0,0.0,26.839409430254058,0,A,192.0,2
P0098,6,0,0.0,0.0,16.969226677567793,0,A,192.0,2
P0115,1,19,4.3600092,0.0,13.639990808254725,1,A,200.0,2
P0115,2,20,0.0,11.653274,16.01328299592374,1,A,200.0,2
P0115,3,14,0.0,0.0,18.82011445062049,1,A,200.0,2
P0115,4,12,0.0,0.0,20.164957872359597,1,A,200.0,2
P0115,5,0,0.0,0.0,14.486669482166414,0,A,200.0,2
P0115,6,0,0.0,0.0,12.184259200774255,0,A,200.0,2
P0092,1,6,0.0,0.63330884,7.6333088435552,1,A,480.0,1
P0092,2,8,0.0,0.0,6.469154274010624,1,A,480.0,1
P0092,3,4,0.0,0.0,8.427247786256904,1,A,480.0,1
P0092,4,10,0.0,0.0,3.8963379840560872,1,A,480.0,1
P0092,5,9,0.0,0.0,10.062560574319843,1,A,480.0,1
P0092,6,0,0.0,0.0,8.73766253308175,0,A,480.0,1
P0078,1,11,0.0,5.0685391,11.0685390652284,1,A,935.0,1
P0078,2,11,0.0,0.0,11.0685390652284,1,A,935.0,1
P0078,3,11,0.0,0.0,11.0685390652284,1,A,935.0,1
P0078,4,11,0.0,0.0,11.0685390652284,1,A,935.0,1
P0078,5,11,0.0,0.0,11.0685390652284,1,A,935.0,1
P0078,6,0,0.0,0.0,11.0685390652284,0,A,935.0,1
P0088,1,8,0.0,3.1107117,9.11071169110292,1,A,464.0,2
P0088,2,7,0.0,5.7705345,5.77053446880138,1,A,464.0,2
P0088,3,7,0.0,0.0,7.953178125769946,1,A,464.0,2
P0088,4,6,0.0,0.0,6.69151908645316,1,A,464.0,2
P0088,5,0,0.0,0.0,6.722715778353706,0,A,464.0,2
P0088,6,0,0.0,0.0,5.7711975568780085,0,A,464.0,2
P0190,1,13,0.0,5.0907725,12.090772517275566,1,A,280.0,1
P0190,2,17,0.0,0.0,12.720521147969393,1,A,280.0,1
P0190,3,17,0.0,0.0,17.161916199533056,1,A,280.0,1
P0190,4,10,0.0,0.0,16.71443491214954,1,A,280.0,1
P0190,5,7,0.0,0.0,10.230077078836832,1,A,280.0,1
P0190,6,0,0.0,0.0,7.318306884532248,0,A,280.0,1
P0015,1,0,5.8255826,0.0,7.174417368698696,0,A,210.0,1
P0015,2,3,3.5397825,0.0,2.2858001342893033,1,A,210.0,1
P0015,3,4,0.0,0.0,6.069698524640692,1,A,210.0,1
P0015,4,5,0.0,0.0,4.3853269989780514,1,A,210.0,1
P0015,5,6,0.0,0.0,5.327017885305764,1,A,210.0,1
P0015,6,0,0.0,0.0,6.280889777389095,0,A,210.0,1
P0046,1,12,2.6628248,0.0,5.337175245151771,1,A,288.0,1
P0046,2,13,0.0,0.0,14.64648245054564,1,A,288.0,1
P0046,3,8,0.0,0.0,13.337770226304986,1,A,288.0,1
P0046,4,10,0.0,0.0,7.627127936091348,1,A,288.0,1
P0046,5,11,0.0,0.0,10.331633496794067,1,A,288.0,1
P0046,6,0,0.0,0.0,10.738753451683763,0,A,288.0,1
P0044,1,8,0.0,0.48210396,8.482103962346972,1,A,416.0,1
P0044,2,11,0.0,0.0,8.463233733727204,1,A,416.0,1
P0044,3,9,0.0,0.0,10.830512895170466,1,A,416.0,1
P0044,4,6,0.0,0.0,8.7378971865263,1,A,416.0,1
P0044,5,8,0.0,0.0,5.810208886135697,1,A,416.0,1
P0044,6,0,0.0,0.0,7.590456391227388,0,A,416.0,1
P0178,1,8,25.75426,0.0,34.245740221970415,1,A,82.0,1
P0178,2,32,0.0,0.0,33.80381402563554,1,A,82.0,1
P0178,3,32,0.0,0.0,32.39484790362109,1,A,82.0,1
P0178,4,24,0.0,0.0,32.35786505964789,1,A,82.0,1
P0178,5,20,0.0,0.0,24.41371280370833,1,A,82.0,1
P0178,6,0,0.0,0.0,20.006285773533754,0,A,82.0,1
P0062,1,1,0.0,1.7875201,10.787520081067008,1,A,360.0,1
P0062,2,7,0.0,0.0,1.2597796590688835,1,A,360.0,1
P0062,3,8,0.0,0.0,7.03430711976096,1,A,360.0,1
P0062,4,6,0.0,0.0,8.444197737223242,1,A,360.0,1
P0062,5,7,0.0,0.0,5.603879679415282,1,A,360.0,1
P0062,6,0,0.0,0.0,6.569467901941575,0,A,360.0,1
P0188,1,11,0.0,1.1757487,14.175748736485765,1,A,216.0,1
P0188,2,9,0.0,0.0,10.691519113303775,1,A,216.0,1
P0188,3,13,0.0,0.0,8.571020919785566,1,A,216.0,1
P0188,4,13,0.0,0.0,12.7551695681707,1,A,216.0,1
P0188,5,11,0.0,0.0,13.130927437850776,1,A,216.0,1
P0188,6,0,0.0,0.0,11.346644500603144,0,A,216.0,1
P0052,1,3,0.0,2.266662,4.266662042426849,1,A,552.0,1
P0052,2,4,0.0,0.0,3.3776746528891803,1,A,552.0,1
P0052,3,2,0.0,0.0,3.819108744367788,1,A,552.0,1
P0052,4,3,0.0,0.0,2.2822517758666003,1,A,552.0,1
P0052,5,2,0.0,0.0,2.8914230508032723,1,A,552.0,1
P0052,6,0,0.0,0.0,2.2710782110936263,0,A,552.0,1
P0222,1,9,0.0,8.8028019,14.80280189866145,1,A,210.0,1
P0222,2,16,0.0,0.0,9.350565575636292,1,A,210.0,1
P0222,3,11,0.0,0.0,15.755603817072906,1,A,210.0,1
P0222,4,16,0.0,0.0,11.35715526558078,1,A,210.0,1
P0222,5,11,0.0,0.0,15.693134269785185,1,A,210.0,1
P0222,6,0,0.0,0.0,10.687050522700147,0,A,210.0,1
P0076,1,3,2.2490038,0.0,3.7509961524587014,1,A,595.0,1
P0076,2,4,0.0,0.0,4.878118975718986,1,A,595.0,1
P0076,3,3,0.0,0.0,3.687643124855732,1,A,595.0,1
P0076,4,3,0.0,0.0,2.825728119465235,1,A,595.0,1
P0076,5,4,0.0,0.0,3.391994037330177,1,A,595.0,1
P0076,6,0,0.0,0.0,3.854746130371358,0,A,595.0,1
P0045,1,1,2.4931133,0.0,6.50688670022723,1,A,388.0,1
P0045,2,5,0.0,0.0,3.88666870603808,1,A,388.0,1
P0045,3,3,0.0,0.0,4.938059424817723,1,A,388.0,1
P0045,4,7,0.0,0.0,2.5808230907592677,1,A,388.0,1
P0045,5,5,0.0,0.0,6.508993988815492,1,A,388.0,1
P0045,6,0,0.0,0.0,4.601478402062992,0,A,388.0,1
P0042,1,0,12.526461,0.0,5.473538850918179,0,A,320.0,1
P0042,2,0,6.9314041,0.0,5.595057049313243,0,A,320.0,1
P0042,3,6,0.0,0.0,7.4265377870090115,1,A,320.0,1
P0042,4,7,0.0,0.0,6.028570481042422,1,A,320.0,1
P0042,5,7,0.0,0.0,7.157299520094848,1,A,320.0,1
P0042,6,0,0.0,0.0,6.563872663732598,0,A,320.0,1
P0066,1,0,3.2469687,0.0,4.753031302453492,0,A,552.0,1
P0066,2,3,2.2981716,0.0,0.9487970731654629,1,A,552.0,1
P0066,3,0,0.0,0.0,5.673905496910114,0,A,552.0,1
P0066,4,4,0.0,0.0,0.12329553250012676,1,A,552.0,1
P0066,5,4,0.0,0.0,4.387703220489617,1,A,552.0,1
P0066,6,0,0.0,0.0,3.5962374485035213,0,A,552.0,1
P0147,1,69,0.0,38.998161,60.99816119287377,1,A,38.0,1
P0147,2,67,0.0,0.0,68.92811493039089,1,A,38.0,1
P0147,3,78,0.0,0.0,66.91612633540667,1,A,38.0,1
P0147,4,77,0.0,0.0,78.17955717244159,1,A,38.0,1
P0147,5,59,0.0,0.0,76.75655708503379,1,A,38.0,1
P0147,6,0,0.0,0.0,58.934332347860376,0,A,38.0,1
P0040,1,10,1.2667328,0.0,8.73326719908983,1,A,224.0,1
P0040,2,9,0.0,0.0,11.427470133922332,1,A,224.0,1
P0040,3,7,0.0,0.0,9.407304877017793,1,A,224.0,1
P0040,4,9,0.0,0.0,6.903544286115293,1,A,224.0,1
P0040,5,8,0.0,0.0,9.087183283510662,1,A,224.0,1
P0040,6,0,0.0,0.0,8.338588372763214,0,A,224.0,1
P0189,1,17,0.0,8.5650551,13.565055145593126,1,A,144.0,2
P0189,2,14,0.0,14.382117,14.382117193782452,1,A,144.0,2
P0189,3,15,0.0,0.0,16.532782891430642,1,A,144.0,2
P0189,4,13,0.0,0.0,14.456979667836015,1,A,144.0,2
P0189,5,0,0.0,0.0,14.96428842258913,0,A,144.0,2
P0189,6,0,0.0,0.0,13.436930893970864,0,A,144.0,2
P0221,1,18,0.0,5.3278223,16.327822259782216,1,A,165.0,1
P0221,2,15,0.0,0.0,17.98783454348922,1,A,165.0,1
P0221,3,15,0.0,0.0,14.90751278892439,1,A,165.0,1
P0221,4,16,0.0,0.0,14.998929239845458,1,A,165.0,1
P0221,5,15,0.0,0.0,16.361329216159447,1,A,165.0,1
P0221,6,0,0.0,0.0,15.106222990489318,0,A,165.0,1
P0109,1,21,16.679651,0.0,13.320349407375666,1,A,135.0,2
P0109,2,19,0.0,2.1927784,18.872428968255182,1,A,135.0,2
P0109,3,9,0.0,0.0,21.35402342663404,1,A,135.0,2
P0109,4,15,0.0,0.0,18.912678743394878,1,A,135.0,2
P0109,5,0,0.0,0.0,9.435249301774242,0,A,135.0,2
P0109,6,0,0.0,0.0,15.424746647622056,0,A,135.0,2
P0219,1,16,0.0,7.9138708,17.913870825062855,1,A,165.0,2
