produit_id,signature
P0150," ARIMA(0,0,0)(0,0,0)[12] intercept"
P0185," ARIMA(0,1,1)(1,0,0)[12]          "
P0136," ARIMA(0,0,0)(0,0,0)[12] intercept"
P0201," ARIMA(0,0,0)(1,0,0)[12] intercept"
P0267," ARIMA(0,0,0)(0,0,0)[12] intercept"
P0050," ARIMA(0,0,0)(0,0,0)[12] intercept"
P0148," ARIMA(0,0,0)(0,0,0)[12] intercept"
P0135," ARIMA(1,0,0)(0,0,0)[12] intercept"
P0134," ARIMA(0,0,0)(0,1,0)[12]          "
P0217," ARIMA(0,0,0)(0,0,0)[12] intercept"
P0229," ARIMA(0,0,0)(0,0,0)[12] intercept"
P0251," ARIMA(1,0,0)(0,0,0)[12] intercept"
P0141," ARIMA(0,0,0)(0,0,0)[12] intercept"
P0175," ARIMA(0,0,1)(0,0,0)[12] intercept"
P0197," ARIMA(0,0,0)(0,0,0)[12] intercept"
P0059," ARIMA(0,0,0)(0,0,0)[12] intercept"
P0123," ARIMA(0,0,1)(0,0,0)[12] intercept"
P0275," ARIMA(0,0,0)(0,0,0)[12] intercept"
P0243," ARIMA(0,0,0)(1,0,0)[12] intercept"
P0228," ARIMA(0,0,1)(0,0,0)[12] intercept"
P0049," ARIMA(0,0,0)(0,0,0)[12] intercept"
P0151," ARIMA(1,0,0)(0,0,0)[12] intercept"
P0163," ARIMA(0,0,0)(0,1,0)[12]          "
P0244," ARIMA(1,1,1)(0,1,0)[12]          "
P0203," ARIMA(0,0,0)(1,0,0)[12] intercept"
P0036," ARIMA(0,0,0)(0,0,0)[12] intercept"
P0246," ARIMA(1,0,0)(0,1,0)[12]          "
P0160," ARIMA(0,0,0)(1,0,1)[12] intercept"
P0174," ARIMA(0,0,0)(0,0,0)[12] intercept"
P0260," ARIMA(0,0,0)(0,0,0)[12] intercept"
P0207," ARIMA(0,0,0)(0,0,0)[12] intercept"
P0122," ARIMA(0,0,0)(0,0,1)[12] intercept"
P0181," ARIMA(0,0,0)(1,1,0)[12] intercept"
P0171," ARIMA(0,0,0)(0,0,0)[12] intercept"
P0108," ARIMA(0,0,0)(0,0,0)[12] intercept"
P0140," ARIMA(1,0,0)(0,0,1)[12] intercept"
P0252," ARIMA(0,0,0)(0,0,1)[12] intercept"
P0224," ARIMA(0,0,1)(0,0,0)[12] intercept"
P0103," ARIMA(0,0,0)(1,0,0)[12] intercept"
P0276," ARIMA(0,0,0)(0,1,0)[12]          "
P0253," ARIMA(0,0,0)(0,0,0)[12] intercept"
P0274," ARIMA(0,0,0)(1,1,0)[12]          "
P0153," ARIMA(0,0,0)(1,0,0)[12] intercept"
P0266," ARIMA(0,0,0)(0,0,0)[12] intercept"
P0210," ARIMA(0,0,1)(1,1,0)[12]          "
P0125," ARIMA(2,0,1)(0,0,0)[12] intercept"
P0279," ARIMA(0,0,0)(0,0,0)[12] intercept"
P0198," ARIMA(0,0,0)(0,0,0)[12] intercept"
P0137," ARIMA(1,0,0)(0,0,0)[12] intercept"
P0261," ARIMA(2,1,0)(0,0,0)[12]          "
P0132," ARIMA(0,0,0)(1,0,1)[12] intercept"
P0272," ARIMA(0,0,0)(1,0,0)[12] intercept"
P0130," ARIMA(0,0,0)(0,1,0)[12]          "
P0271," ARIMA(0,0,1)(1,0,0)[12] intercept"
P0126," ARIMA(0,0,2)(1,1,0)[12] intercept"
P0127," ARIMA(0,0,0)(0,0,0)[12] intercept"
P0121," ARIMA(0,0,0)(0,0,0)[12] intercept"
P0211," ARIMA(0,0,0)(0,1,0)[12]          "
P0131," ARIMA(0,0,0)(0,0,0)[12] intercept"
P0143," ARIMA(0,0,0)(0,0,0)[12] intercept"
P0278," ARIMA(0,0,0)(0,0,0)[12] intercept"
P0226," ARIMA(2,1,1)(0,0,0)[12]          "
P0142," ARIMA(0,0,0)(0,0,0)[12] intercept"
P0200," ARIMA(1,1,1)(0,1,0)[12]          "
P0277," ARIMA(2,1,0)(0,0,1)[12] intercept"
P0205," ARIMA(0,0,0)(1,0,0)[12] intercept"
P0242," ARIMA(0,0,0)(1,0,0)[12] intercept"
P0236," ARIMA(1,0,1)(1,0,0)[12] intercept"
P0100," ARIMA(0,0,0)(0,0,0)[12] intercept"
P0237," ARIMA(0,0,0)(0,0,1)[12] intercept"
P0204," ARIMA(0,0,0)(1,0,0)[12] intercept"
P0240," ARIMA(0,0,0)(0,0,0)[12] intercept"
P0268," ARIMA(0,0,1)(1,1,0)[12] intercept"
P0139," ARIMA(0,0,0)(0,0,0)[12] intercept"
P0120," ARIMA(0,0,0)(0,0,1)[12] intercept"
P0238," ARIMA(0,1,0)(0,1,0)[12]          "
P0250," ARIMA(0,0,0)(0,0,0)[12] intercept"
P0129," ARIMA(0,0,0)(0,1,0)[12]          "
P0239," ARIMA(0,0,0)(1,1,0)[12]          "
P0119," ARIMA(0,0,1)(0,0,0)[12] intercept"
