client_id,client_nom,type_client,ville,ca_total_usd,nb_transactions,date_premiere_visite,date_derniere_visite,fidele
B001,KICC Kinsenda Copper,Entreprise,Lubumbashi,180560.895,334,2022-08-02,2025-07-28,1
B002,CEEC,Entreprise,Lubumbashi,167055.315,326,2022-08-03,2025-07-31,1
B003,Crown Mining,Entreprise,Lubumbashi,155676.47,338,2022-08-01,2025-07-28,1
B004,ITM,Entreprise,Lubumbashi,152714.25,325,2022-08-01,2025-07-29,1
B005,IBS,Entreprise,Lubumbashi,142866.21,344,2022-08-05,2025-07-21,1
B006,Africa Management,Entreprise,Lubumbashi,171290.6,336,2022-08-01,2025-07-26,1
B007,LG Fouani,Entreprise,Lubumbashi,187889.79,369,2022-08-01,2025-07-28,1
B008,B and B,Entreprise,Lubumbashi,156638.125,332,2022-08-01,2025-07-31,1
B009,Croix Rouge,Entreprise,Lubumbashi,154685.365,324,2022-08-04,2025-07-20,1
B010,Regideso,Entreprise,Lubumbashi,138950.76,309,2022-08-01,2025-07-29,1
B011,Commune de Lubumbashi,Entreprise,Lubumbashi,136376.65,313,2022-08-01,2025-07-31,1
B012,CMDC,Entreprise,Lubumbashi,146784.23,324,2022-08-01,2025-07-30,1
B013,CNSSAP,Entreprise,Lubumbashi,157795.54,330,2022-08-02,2025-07-27,1
B014,OIM,Entreprise,Lubumbashi,153796.29,326,2022-08-01,2025-07-29,1
B015,EMS,Entreprise,Lubumbashi,143059.165,316,2022-08-01,2025-07-28,1
B016,BCDC,Entreprise,Lubumbashi,160662.065,330,2022-08-01,2025-07-25,1
B017,Activa Assurance,Entreprise,Lubumbashi,157425.59,359,2022-08-01,2025-07-25,1
B018,Rawbank,Entreprise,Lubumbashi,139991.505,324,2022-08-01,2025-07-28,1
B019,Hotel La Source,Entreprise,Lubumbashi,187470.685,366,2022-08-02,2025-07-31,1
B020,Bush Camp,Entreprise,Lubumbashi,157230.07,306,2022-08-01,2025-07-28,1
B021,Bags and Sacks,Entreprise,Lubumbashi,178375.74,332,2022-08-01,2025-07-29,1
B022,Casque Service,Entreprise,Lubumbashi,139348.335,316,2022-08-02,2025-07-28,1
B023,Habari Kani,Entreprise,Lubumbashi,175570.22,343,2022-08-02,2025-07-31,1
B024,International Facilities Services DRC,Entreprise,Lubumbashi,147826.745,312,2022-08-01,2025-07-30,1
B025,ISS,Entreprise,Lubumbashi,166066.735,337,2022-08-01,2025-07-28,1
B026,Belle Vue,Entreprise,Lubumbashi,142901.335,333,2022-08-02,2025-07-26,1
B027,MED PARK,Entreprise,Lubumbashi,187558.715,318,2022-08-01,2025-07-20,1
B028,Fatuma,Entreprise,Lubumbashi,160998.205,316,2022-08-02,2025-07-29,1
B029,Edile Construction,Entreprise,Lubumbashi,171130.52,337,2022-08-01,2025-07-30,1
B030,Kongo River,Entreprise,Lubumbashi,144976.65,314,2022-08-03,2025-07-31,1
B031,LGP,Entreprise,Lubumbashi,162788.915,332,2022-08-01,2025-07-31,1
B032,Kevtex Computing,Entreprise,Lubumbashi,155477.99,328,2022-08-05,2025-07-29,1
B033,Korridor,Entreprise,Lubumbashi,177970.705,332,2022-08-01,2025-07-26,1
B034,Grand Labo,Entreprise,Lubumbashi,157111.095,316,2022-08-01,2025-07-22,1
B035,Groupe Number One,Entreprise,Lubumbashi,139824.77,317,2022-08-02,2025-07-30,1
