date,annee,mois,mois_nom,trimestre,semaine,jour_semaine,jour_nom,jour_mois,est_weekend,periode_yyyymm,est_rentree_scolaire,est_rentree_academique,est_periode_pic_b2b
2022-08-01,2022,8,August,3,31,0,Monday,1,0,2022-08,1,0,0
2022-08-02,2022,8,August,3,31,1,Tuesday,2,0,2022-08,1,0,0
2022-08-03,2022,8,August,3,31,2,Wednesday,3,0,2022-08,1,0,0
2022-08-04,2022,8,August,3,31,3,Thursday,4,0,2022-08,1,0,0
2022-08-05,2022,8,August,3,31,4,Friday,5,0,2022-08,1,0,0
2022-08-06,2022,8,August,3,31,5,Saturday,6,1,2022-08,1,0,0
2022-08-07,2022,8,August,3,31,6,Sunday,7,1,2022-08,1,0,0
2022-08-08,2022,8,August,3,32,0,Monday,8,0,2022-08,1,0,0
2022-08-09,2022,8,August,3,32,1,Tuesday,9,0,2022-08,1,0,0
2022-08-10,2022,8,August,3,32,2,Wednesday,10,0,2022-08,1,0,0
2022-08-11,2022,8,August,3,32,3,Thursday,11,0,2022-08,1,0,0
2022-08-12,2022,8,August,3,32,4,Friday,12,0,2022-08,1,0,0
2022-08-13,2022,8,August,3,32,5,Saturday,13,1,2022-08,1,0,0
2022-08-14,2022,8,August,3,32,6,Sunday,14,1,2022-08,1,0,0
2022-08-15,2022,8,August,3,33,0,Monday,15,0,2022-08,1,0,0
2022-08-16,2022,8,August,3,33,1,Tuesday,16,0,2022-08,1,0,0
2022-08-17,2022,8,August,3,33,2,Wednesday,17,0,2022-08,1,0,0
2022-08-18,2022,8,August,3,33,3,Thursday,18,0,2022-08,1,0,0
2022-08-19,2022,8,August,3,33,4,Friday,19,0,2022-08,1,0,0
2022-08-20,2022,8,August,3,33,5,Saturday,20,1,2022-08,1,0,0
2022-08-21,2022,8,August,3,33,6,Sunday,21,1,2022-08,1,0,0
2022-08-22,2022,8,August,3,34,0,Monday,22,0,2022-08,1,0,0
2022-08-23,2022,8,August,3,34,1,Tuesday,23,0,2022-08,1,0,0
2022-08-24,2022,8,August,3,34,2,Wednesday,24,0,2022-08,1,0,0
2022-08-25,2022,8,August,3,34,3,Thursday,25,0,2022-08,1,0,0
2022-08-26,2022,8,August,3,34,4,Friday,26,0,2022-08,1,0,0
2022-08-27,2022,8,August,3,34,5,Saturday,27,1,2022-08,1,0,0
2022-08-28,2022,8,August,3,34,6,Sunday,28,1,2022-08,1,0,0
2022-08-29,2022,8,August,3,35,0,Monday,29,0,2022-08,1,0,0
2022-08-30,2022,8,August,3,35,1,Tuesday,30,0,2022-08,1,0,0
2022-08-31,2022,8,August,3,35,2,Wednesday,31,0,2022-08,1,0,0
2022-09-01,2022,9,September,3,35,3,Thursday,1,0,2022-09,1,0,0
2022-09-02,2022,9,September,3,35,4,Friday,2,0,2022-09,1,0,0
2022-09-03,2022,9,September,3,35,5,Saturday,3,1,2022-09,1,0,0
2022-09-04,2022,9,September,3,35,6,Sunday,4,1,2022-09,1,0,0
2022-09-05,2022,9,September,3,36,0,Monday,5,0,2022-09,1,0,0
2022-09-06,2022,9,September,3,36,1,Tuesday,6,0,2022-09,1,0,0
2022-09-07,2022,9,September,3,36,2,Wednesday,7,0,2022-09,1,0,0
2022-09-08,2022,9,September,3,36,3,Thursday,8,0,2022-09,1,0,0
2022-09-09,2022,9,September,3,36,4,Friday,9,0,2022-09,1,0,0
2022-09-10,2022,9,September,3,36,5,Saturday,10,1,2022-09,1,0,0
2022-09-11,2022,9,September,3,36,6,Sunday,11,1,2022-09,1,0,0
2022-09-12,2022,9,September,3,37,0,Monday,12,0,2022-09,1,0,0
2022-09-13,2022,9,September,3,37,1,Tuesday,13,0,2022-09,1,0,0
2022-09-14,2022,9,September,3,37,2,Wednesday,14,0,2022-09,1,0,0
2022-09-15,2022,9,September,3,37,3,Thursday,15,0,2022-09,1,0,0
2022-09-16,2022,9,September,3,37,4,Friday,16,0,2022-09,1,0,0
2022-09-17,2022,9,September,3,37,5,Saturday,17,1,2022-09,1,0,0
2022-09-18,2022,9,September,3,37,6,Sunday,18,1,2022-09,1,0,0
2022-09-19,2022,9,September,3,38,0,Monday,19,0,2022-09,1,0,0
2022-09-20,2022,9,September,3,38,1,Tuesday,20,0,2022-09,1,0,0
2022-09-21,2022,9,September,3,38,2,Wednesday,21,0,2022-09,1,0,0
2022-09-22,2022,9,September,3,38,3,Thursday,22,0,2022-09,1,0,0
2022-09-23,2022,9,September,3,38,4,Friday,23,0,2022-09,1,0,0
2022-09-24,2022,9,September,3,38,5,Saturday,24,1,2022-09,1,0,0
2022-09-25,2022,9,September,3,38,6,Sunday,25,1,2022-09,1,0,0
2022-09-26,2022,9,September,3,39,0,Monday,26,0,2022-09,1,0,0
2022-09-27,2022,9,September,3,39,1,Tuesday,27,0,2022-09,1,0,0
