produit_id,classe_abc,mois_offset,quantite_commandee,commande_passee,stock_final,rupture,demande_prevue,cout_achat,prix_vente,fournisseur,lead_time_mois,montant_total
P0001,A,1,0,0,0.0,0.0,0.0,95.0,133.0,Dubaï,1,0.0
P0001,A,2,0,0,0.0,0.0,0.0,95.0,133.0,Dubaï,1,0.0
P0001,A,3,0,0,0.0,0.0,0.0,95.0,133.0,Dubaï,1,0.0
P0002,A,1,0,0,1.0,0.0,0.0,110.0,154.0,Dubaï,1,0.0
P0002,A,2,0,0,1.0,0.0,0.0,110.0,154.0,Dubaï,1,0.0
P0002,A,3,0,0,1.0,0.0,0.0,110.0,154.0,Dubaï,1,0.0
P0003,C,1,0,0,0.0,0.0,0.0,90.0,126.0,Dubaï,1,0.0
P0003,C,2,0,0,0.0,0.0,0.0,90.0,126.0,Dubaï,1,0.0
P0003,C,3,0,0,0.0,0.0,0.0,90.0,126.0,Dubaï,1,0.0
P0004,A,1,0,0,0.0,0.0,0.0,120.0,168.0,Dubaï,1,0.0
P0004,A,2,0,0,0.0,0.0,0.0,120.0,168.0,Dubaï,1,0.0
P0004,A,3,0,0,0.0,0.0,0.0,120.0,168.0,Dubaï,1,0.0
P0005,A,1,0,0,27.0,0.0,0.0,130.0,182.0,Dubaï,1,0.0
P0005,A,2,0,0,26.7,0.0,0.28,130.0,182.0,Dubaï,1,0.0
P0005,A,3,0,0,26.7,0.0,0.0,130.0,182.0,Dubaï,1,0.0
P0006,B,1,0,0,13.3,0.0,1.65,145.0,203.0,Dubaï,1,0.0
P0006,B,2,16,1,3.1,0.0,10.29,145.0,203.0,Dubaï,1,2320.0
P0006,B,3,16,1,7.3,0.0,11.74,145.0,203.0,Dubaï,1,2320.0
P0007,B,1,0,0,0.0,0.0,0.0,165.0,231.0,Dubaï,1,0.0
P0007,B,2,0,0,0.0,0.0,0.0,165.0,231.0,Dubaï,1,0.0
P0007,B,3,0,0,0.0,0.0,0.0,165.0,231.0,Dubaï,1,0.0
P0008,A,1,0,0,13.0,0.0,0.0,175.0,245.0,Dubaï,1,0.0
P0008,A,2,0,0,13.0,0.0,0.0,175.0,245.0,Dubaï,1,0.0
P0008,A,3,0,0,13.0,0.0,0.0,175.0,245.0,Dubaï,1,0.0
P0009,B,1,0,0,8.0,0.0,0.0,175.0,245.0,Dubaï,1,0.0
P0009,B,2,0,0,8.0,0.0,0.0,175.0,245.0,Dubaï,1,0.0
P0009,B,3,0,0,8.0,0.0,0.0,175.0,245.0,Dubaï,1,0.0
P0010,B,1,0,0,0.0,0.0,0.0,175.0,245.0,Dubaï,1,0.0
P0010,B,2,0,0,0.0,0.0,0.0,175.0,245.0,Dubaï,1,0.0
P0010,B,3,0,0,0.0,0.0,0.0,175.0,245.0,Dubaï,1,0.0
P0011,A,1,0,0,0.0,0.0,0.0,170.0,238.0,Dubaï,1,0.0
P0011,A,2,0,0,0.0,0.0,0.0,170.0,238.0,Dubaï,1,0.0
P0011,A,3,0,0,0.0,0.0,0.0,170.0,238.0,Dubaï,1,0.0
P0012,A,1,0,0,1.0,0.0,0.0,180.0,252.0,Dubaï,1,0.0
P0012,A,2,0,0,1.0,0.0,0.0,180.0,252.0,Dubaï,1,0.0
P0012,A,3,0,0,1.0,0.0,0.0,180.0,252.0,Dubaï,1,0.0
P0013,A,1,0,0,14.0,0.0,0.0,180.0,252.0,Dubaï,1,0.0
P0013,A,2,0,0,14.0,0.0,0.0,180.0,252.0,Dubaï,1,0.0
P0013,A,3,0,0,14.0,0.0,0.0,180.0,252.0,Dubaï,1,0.0
P0014,A,1,94,1,0.0,15.24,39.24,180.0,252.0,Dubaï,1,16920.0
P0014,A,2,94,1,39.0,0.0,55.05,180.0,252.0,Dubaï,1,16920.0
P0014,A,3,0,0,86.5,0.0,46.48,180.0,252.0,Dubaï,1,0.0
P0015,A,1,14,1,6.3,0.0,6.66,210.0,294.0,Dubaï,1,2940.0
P0015,A,2,0,0,13.7,0.0,6.66,210.0,294.0,Dubaï,1,0.0
P0015,A,3,0,0,7.0,0.0,6.66,210.0,294.0,Dubaï,1,0.0
P0016,A,1,60,1,2.4,0.0,34.62,220.0,308.0,Dubaï,1,13200.0
P0016,A,2,0,0,46.1,0.0,16.29,220.0,308.0,Dubaï,1,0.0
P0016,A,3,60,1,8.3,0.0,37.82,220.0,308.0,Dubaï,1,13200.0
P0017,A,1,0,0,0.0,0.0,0.0,220.0,308.0,Dubaï,1,0.0
P0017,A,2,0,0,0.0,0.0,0.0,220.0,308.0,Dubaï,1,0.0
P0017,A,3,0,0,0.0,0.0,0.0,220.0,308.0,Dubaï,1,0.0
P0018,B,1,0,0,0.0,0.0,0.0,220.0,308.0,Dubaï,1,0.0
P0018,B,2,0,0,0.0,0.0,0.0,220.0,308.0,Dubaï,1,0.0
P0018,B,3,0,0,0.0,0.0,0.0,220.0,308.0,Dubaï,1,0.0
P0019,B,1,0,0,0.0,0.0,0.0,235.0,329.0,Dubaï,1,0.0
P0019,B,2,0,0,0.0,0.0,0.0,235.0,329.0,Dubaï,1,0.0
P0019,B,3,0,0,0.0,0.0,0.0,235.0,329.0,Dubaï,1,0.0
P0020,A,1,0,0,0.0,0.0,0.0,240.0,336.0,Dubaï,1,0.0
P0020,A,2,0,0,0.0,0.0,0.0,240.0,336.0,Dubaï,1,0.0
P0020,A,3,0,0,0.0,0.0,0.0,240.0,336.0,Dubaï,1,0.0
P0021,A,1,0,0,11.0,0.0,0.0,250.0,350.0,Dubaï,1,0.0
P0021,A,2,0,0,11.0,0.0,0.0,250.0,350.0,Dubaï,1,0.0
P0021,A,3,0,0,11.0,0.0,0.0,250.0,350.0,Dubaï,1,0.0
P0022,A,1,0,0,45.0,0.0,0.0,250.0,350.0,Dubaï,1,0.0
P0022,A,2,0,0,45.0,0.0,0.0,250.0,350.0,Dubaï,1,0.0
P0022,A,3,0,0,45.0,0.0,0.0,250.0,350.0,Dubaï,1,0.0
P0023,A,1,37,1,7.1,0.0,18.91,250.0,350.0,Dubaï,1,9250.0
P0023,A,2,0,0,29.9,0.0,14.19,250.0,350.0,Dubaï,1,0.0
P0023,A,3,37,1,8.6,0.0,21.34,250.0,350.0,Dubaï,1,9250.0
P0024,A,1,0,0,20.5,0.0,8.5,260.0,364.0,Dubaï,1,0.0
P0024,A,2,0,0,17.8,0.0,2.67,260.0,364.0,Dubaï,1,0.0
P0024,A,3,17,1,4.4,0.0,13.47,260.0,364.0,Dubaï,1,4420.0
P0025,A,1,7,1,1.6,0.0,9.41,270.0,378.0,Dubaï,1,1890.0
P0025,A,2,0,0,8.6,0.0,0.0,270.0,378.0,Dubaï,1,0.0
P0025,A,3,0,0,8.6,0.0,0.0,270.0,378.0,Dubaï,1,0.0
P0026,A,1,0,0,0.0,0.0,0.0,275.0,385.0,Dubaï,1,0.0
P0026,A,2,0,0,0.0,0.0,0.0,275.0,385.0,Dubaï,1,0.0
P0026,A,3,0,0,0.0,0.0,0.0,275.0,385.0,Dubaï,1,0.0
P0027,C,1,0,0,0.0,0.0,0.0,95.0,133.0,Dubaï,1,0.0
P0027,C,2,0,0,0.0,0.0,0.0,95.0,133.0,Dubaï,1,0.0
P0027,C,3,0,0,0.0,0.0,0.0,95.0,133.0,Dubaï,1,0.0
P0028,A,1,0,0,0.0,0.0,0.0,105.0,147.0,Dubaï,1,0.0
P0028,A,2,0,0,0.0,0.0,0.0,105.0,147.0,Dubaï,1,0.0
