produit_id,magasin,mois_offset,date_decision,fournisseur,classe_abc,quantite_commandee,cout_achat,montant_total,demande_prevue,stock_final,rupture,lead_time_mois
P0006,Kolwezi Mwangeshi,2,2026-06-01,Dubaï,B,1,145.0,145.0,9.5,4.1,0.0,1
P0006,Kolwezi Ville,2,2026-06-01,Dubaï,B,1,145.0,145.0,9.5,4.1,0.0,1
P0006,Likasi,2,2026-06-01,Dubaï,B,1,145.0,145.0,9.5,4.1,0.0,1
P0006,Lomami,2,2026-06-01,Dubaï,B,1,145.0,145.0,9.5,4.1,0.0,1
P0006,Maniema,2,2026-06-01,Dubaï,B,1,145.0,145.0,9.5,4.1,0.0,1
P0006,Mobutu 1,2,2026-06-01,Dubaï,B,1,145.0,145.0,9.5,4.1,0.0,1
P0006,Mobutu 2,2,2026-06-01,Dubaï,B,2,145.0,290.0,9.5,4.1,0.0,1
P0014,Kolwezi Mwangeshi,1,2026-06-01,Dubaï,A,1,180.0,180.0,39.24,0.0,15.24,1
P0014,Kolwezi Ville,1,2026-06-01,Dubaï,A,1,180.0,180.0,39.24,0.0,15.24,1
P0014,Lomami,1,2026-06-01,Dubaï,A,1,180.0,180.0,39.24,0.0,15.24,1
P0014,Maniema,1,2026-06-01,Dubaï,A,4,180.0,720.0,39.24,0.0,15.24,1
P0014,Mobutu 1,1,2026-06-01,Dubaï,A,1,180.0,180.0,39.24,0.0,15.24,1
P0014,Mobutu 2,1,2026-06-01,Dubaï,A,47,180.0,8460.0,39.24,0.0,15.24,1
P0014,Kolwezi Mwangeshi,2,2026-06-01,Dubaï,A,1,180.0,180.0,55.05,0.0,0.0,1
P0014,Kolwezi Ville,2,2026-06-01,Dubaï,A,1,180.0,180.0,55.05,0.0,0.0,1
P0014,Lomami,2,2026-06-01,Dubaï,A,1,180.0,180.0,55.05,0.0,0.0,1
P0014,Maniema,2,2026-06-01,Dubaï,A,3,180.0,540.0,55.05,0.0,0.0,1
P0014,Mobutu 2,2,2026-06-01,Dubaï,A,40,180.0,7200.0,55.05,0.0,0.0,1
P0015,Kolwezi Ville,2,2026-06-01,Dubaï,A,2,210.0,420.0,6.66,0.0,0.0,1
P0015,Likasi,2,2026-06-01,Dubaï,A,1,210.0,210.0,6.66,0.0,0.0,1
P0015,Lomami,2,2026-06-01,Dubaï,A,1,210.0,210.0,6.66,0.0,0.0,1
P0015,Maniema,2,2026-06-01,Dubaï,A,2,210.0,420.0,6.66,0.0,0.0,1
P0015,Mobutu 2,2,2026-06-01,Dubaï,A,1,210.0,210.0,6.66,0.0,0.0,1
P0016,Kolwezi Mwangeshi,1,2026-06-01,Dubaï,A,2,220.0,440.0,34.62,2.4,0.0,1
P0016,Lomami,1,2026-06-01,Dubaï,A,2,220.0,440.0,34.62,2.4,0.0,1
P0016,Mobutu 1,1,2026-06-01,Dubaï,A,3,220.0,660.0,34.62,2.4,0.0,1
P0016,Mobutu 2,1,2026-06-01,Dubaï,A,7,220.0,1540.0,34.62,2.4,0.0,1
P0016,Kolwezi Mwangeshi,2,2026-06-01,Dubaï,A,4,220.0,880.0,16.29,0.0,0.0,1
P0016,Kolwezi Ville,2,2026-06-01,Dubaï,A,1,220.0,220.0,16.29,0.0,0.0,1
P0016,Likasi,2,2026-06-01,Dubaï,A,1,220.0,220.0,16.29,0.0,0.0,1
P0016,Lomami,2,2026-06-01,Dubaï,A,7,220.0,1540.0,16.29,0.0,0.0,1
P0016,Maniema,2,2026-06-01,Dubaï,A,1,220.0,220.0,16.29,0.0,0.0,1
P0016,Mobutu 1,2,2026-06-01,Dubaï,A,7,220.0,1540.0,16.29,0.0,0.0,1
