produit_id,modele,mae,rmse,mape,classe_abc,classe_xyz,classe_abc_xyz
P0023,lstm,19.25,22.798026230355994,180.1014591883265,A,Y,AY
P0024,lstm,11.5,12.227019260637483,51.5625,A,Y,AY
P0105,lstm,4.25,5.361902647381804,43.02447294707357,A,X,AX
P0021,obsolete,3.5,4.415880433163924,100.0,A,Y,AY
P0110,lstm,2.75,3.0413812651491097,22.176434676434674,A,X,AX
P0025,lstm,6.25,8.52936105461599,146.81203931203933,A,Y,AY
P0104,lstm,5.5,5.612486080160912,42.46031746031746,A,X,AX
P0080,lstm,2.75,2.8722813232690143,39.58333333333333,A,Y,AY
P0020,obsolete,,,,A,Y,AY
P0017,obsolete,,,,A,Y,AY
P0094,lstm,5.5,6.708203932499369,43.7310606060606,A,X,AX
P0043,lstm,4.0,4.415880433163924,53.125,A,Y,AY
P0037,lstm,6.75,7.262919523166975,130.9027777777778,A,X,AX
P0051,lstm,4.5,5.916079783099616,151.3888888888889,A,Y,AY
P0014,lstm,17.5,21.42428528562855,48.75945414738518,A,Y,AY
P0016,lstm,21.0,29.017236257093817,59.210526315789465,A,Y,AY
P0073,obsolete,,,,A,Y,AY
P0107,lstm,10.0,14.0,108.00824175824175,A,Y,AY
P0192,lstm,2.75,4.55521678957215,29.583333333333332,A,Y,AY
P0002,obsolete,27.5,33.712015662075146,100.0,A,Y,AY
P0072,lstm,1.5,1.5811388300841898,32.08333333333333,A,X,AX
P0091,lstm,3.5,5.1478150704935,74.16666666666667,A,Y,AY
P0098,lstm,5.0,5.916079783099616,30.606060606060602,A,X,AX
P0115,lstm,11.25,11.5,111.47891963109353,A,X,AX
P0092,lstm,3.5,4.415880433163924,83.33333333333334,A,Y,AY
P0078,lstm,12.75,13.629013170439011,616.6666666666667,A,Y,AY
P0088,lstm,3.0,3.24037034920393,115.23809523809523,A,Y,AY
P0069,obsolete,,,,A,X,AX
P0190,lstm,5.75,5.894913061275798,100.76388888888887,A,X,AX
P0015,croston_sba,5.9371765505566785,6.480745743545268,75.7745114699308,A,Z,AZ
P0068,lstm,4.25,5.361902647381804,251.87499999999997,A,Y,AY
P0046,lstm,7.75,8.52936105461599,120.2777777777778,A,Y,AY
P0004,obsolete,,,,A,Y,AY
P0013,obsolete,,,,A,Y,AY
P0012,obsolete,,,,A,Y,AY
P0008,obsolete,9.75,12.072696467649637,100.0,A,Y,AY
P0022,obsolete,2.5,3.8078865529319543,100.0,A,Y,AY
P0044,lstm,4.75,5.220153254455275,134.34343434343435,A,Y,AY
P0178,lstm,10.0,11.135528725660043,33.195569050832205,A,X,AX
P0062,lstm,5.25,5.852349955359813,73.23232323232322,A,Y,AY
P0188,lstm,5.25,5.979130371550699,97.91666666666667,A,X,AX
P0067,obsolete,,,,A,Y,AY
P0052,lstm,1.25,1.8027756377319946,183.33333333333331,A,Y,AY
P0222,lstm,2.75,3.278719262151,38.26923076923077,A,X,AX
P0071,obsolete,,,,A,Y,AY
P0076,lstm,3.25,3.5,97.5,A,Y,AY
P0045,lstm,4.75,5.766281297335398,177.08333333333331,A,Y,AY
P0042,lstm,5.25,5.979130371550699,161.01190476190476,A,Y,AY
P0066,lstm,4.25,4.769696007084728,125.69444444444444,A,Y,AY
P0147,lstm,5.75,7.566372975210778,15.683643173070791,A,X,AX
P0040,lstm,2.75,3.570714214271425,49.404761904761905,A,Y,AY
P0026,obsolete,,,,A,Z,AZ
P0189,lstm,5.25,8.587782018658833,77.19719973009448,A,X,AX
P0221,lstm,5.0,6.892024376045111,72.17948717948718,A,X,AX
P0011,obsolete,,,,A,Z,AZ
P0109,lstm,8.25,9.473647660748208,42.45337995337996,A,X,AX
P0219,lstm,4.75,4.9749371855331,34.62450592885376,A,X,AX
P0060,lstm,3.5,4.949747468305833,50.0,A,Y,AY
P0056,lstm,2.5,2.9154759474226504,41.964285714285715,A,Y,AY
P0177,lstm,12.0,12.727922061357855,99.34533551554827,A,X,AX
P0230,obsolete,,,,A,Y,AY
P0096,lstm,4.25,4.924428900898052,26.731601731601728,A,X,AX
P0028,obsolete,,,,A,Y,AY
P0029,obsolete,,,,A,Y,AY
P0055,lstm,6.25,7.92148975887743,550.0,A,Y,AY
P0005,lstm,18.75,21.857492994394395,226.8939393939394,A,Y,AY
P0001,obsolete,,,,A,Y,AY
P0186,lstm,4.25,5.267826876426369,44.96527777777778,A,Y,AY
P0090,lstm,4.5,5.5677643628300215,277.5,A,Y,AY
P0019,obsolete,,,,B,Z,BZ
P0112,lightgbm,5.107062266677729,6.463906889080837,44.15867925171681,B,X,BX
P0089,lightgbm,2.2570060783783052,2.495671252443051,44.774915867853906,B,Y,BY
P0054,lightgbm,2.0308931894132325,2.814774611148933,39.28648635107154,B,Y,BY
P0038,lightgbm,1.3524283313525465,1.5435259082592618,30.42875425387088,B,Y,BY
P0158,lightgbm,8.654896247737199,10.254181191974558,24.321029117463848,B,X,BX
P0058,lightgbm,4.245451709069119,4.593566769748833,75.70251394394954,B,Y,BY
